salsify:id,salsify:name,salsify:data_type,salsify:is_facetable,salsify:attribute_group,salsify:position,salsify:help_text,salsify:searchable,salsify:manage_permissions,salsify:manage_permissions,salsify:manage_permissions,salsify:read_permissions,salsify:read_permissions,salsify:read_permissions,salsify:read_permissions,salsify:read_permissions,salsify:read_permissions,salsify:read_permissions,salsify:read_permissions,salsify:read_permissions,salsify:read_permissions,salsify:read_permissions,salsify:read_permissions,salsify:read_permissions,salsify:type,salsify:formula,salsify:hidden_permissions,salsify:hidden_permissions,salsify:hidden_permissions,salsify:hidden_permissions,salsify:hidden_permissions,salsify:hidden_permissions,salsify:hidden_permissions,salsify:hidden_permissions,salsify:hidden_permissions,salsify:hidden_permissions,salsify:hidden_permissions,salsify:hidden_permissions,salsify:hidden_permissions,salsify:entity_types,salsify:entity_types,salsify:entity_types,belk:enrichment_attribute,belk:role,dw:is_custom_attribute,dw:priority,dw:source_level,dw:xml_level,dw:xml_level,dw:xml_path
Vendor Images - A - imageName,Vendor Images - A - imageName,string,Yes,VendorImages,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,Products,,,,,,,,,,
Vendor Images - A - imagePath,Vendor Images - A - imagePath,digital_asset,Yes,VendorImages,,,No,Copy User,CopyAdmin,PIP Admin,Art Director Admins,PIP User,Product Data Administrator,,,,,,,,,,,property,,,,,,,,,,,,,,,Products,,,,,,,,,,
Scene7 Images - B - shotType,Scene7 Images - B - shotType,string,Yes,Scene 7 Images,,,No,,,,Art Director Admins,ArtDirectors,Copy User,CopyAdmin,CopyWriter,Editors,PIP Admin,PIP User,Product Data Administrator,Product Data Co-Ordinator,Read Only,Sample Admin,Viewers,property,,,,,,,,,,,,,,,Products,,,,,,,,,,
Scene7 Images - B - mainImage,Scene7 Images - B - mainImage,html,Yes,Scene7 Images B,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,Products,,,,,,,,,,
Scene7 Images - B - swatchImage,Scene7 Images - B - swatchImage,digital_asset,Yes,Scene 7 Images,,,No,,,,Art Director Admins,ArtDirectors,Copy User,CopyAdmin,CopyWriter,Editors,PIP Admin,PIP User,Product Data Administrator,Product Data Co-Ordinator,Read Only,Sample Admin,Viewers,property,,,,,,,,,,,,,,,Products,,,,,,,,,,
Scene7 Images - B - viewerImage,Scene7 Images - B - viewerImage,digital_asset,Yes,Scene 7 Images,,,No,,,,Art Director Admins,ArtDirectors,Copy User,CopyAdmin,CopyWriter,Editors,PIP Admin,PIP User,Product Data Administrator,Product Data Co-Ordinator,Read Only,Sample Admin,Viewers,property,,,,,,,,,,,,,,,Products,,,,,,,,,,
Example Image,Example Image,digital_asset,Yes,Global Attributes,,,No,Copy User,CopyAdmin,PIP Admin,Art Director Admins,PIP User,Product Data Administrator,,,,,,,,,,,property,,,,,,,,,,,,,,,,,,,,,,,,,
Images_PT,Images_PT,digital_asset,Yes,Global Attributes,,,No,Copy User,CopyAdmin,PIP Admin,Art Director Admins,PIP User,Product Data Administrator,,,,,,,,,,,property,,,,,,,,,,,,,,,Products,,,,,,,,,,
Image Shot Type,Image Shot Type,enumerated,Yes,Global Attributes,,,No,Copy User,CopyAdmin,PIP Admin,Art Director Admins,PIP User,Product Data Administrator,,,,,,,,,,,property,,,,,,,,,,,,,,,Products,,,,,,,,,,
ShotType,ShotType,enumerated,Yes,RR Donnelley,,,No,CopyAdmin,Product Data Administrator,Sample Admin,Art Director Admins,PIP User,Product Data Administrator,,,,,,,,,,,property,,,,,,,,,,,,,,,Digital assets,,,,,,,,,,
